"File: DDELog(Excel:M11_DRG	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M11_DRG_20_7\M11.LOG"
"Date: Wed Jul 20 2022 10:26:36.658"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
1321.8330
1355.2580
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (120, 118), Size: (62, 63), Area: 3008]"
"Region 2: [Location: (305, 144), Size: (32, 32), Area: 788]"
"Region 3: [Location: (332, 155), Size: (33, 32), Area: 812]"
"Region 4: [Location: (278, 213), Size: (27, 28), Area: 584]"
"Region 5: [Location: (300, 224), Size: (36, 36), Area: 1000]"
"Region 6: [Location: (323, 258), Size: (40, 38), Area: 1180]"
"Region 7: [Location: (374, 248), Size: (39, 49), Area: 1483]"
"Region 8: [Location: (376, 304), Size: (26, 27), Area: 538]"
"Region 9: [Location: (63, 230), Size: (37, 33), Area: 933]"
"Region 10: [Location: (26, 264), Size: (35, 38), Area: 1026]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
52.2570, 1757.0738, 6784.9508, 1691.1586, 4361.3794, 1693.0271, 4509.3966, 1683.5462, 4168.4315, 1685.4190, 3636.4190, 1664.8669, 3333.2568, 1695.1160, 2583.4417, 1645.2286, 2969.1524, 1599.4202, 1639.3387, 1596.2612, 1634.2515
53.2570, 1757.7111, 6778.6882, 1691.4378, 4361.6497, 1692.5074, 4510.3374, 1682.1250, 4174.8613, 1685.2080, 3634.5330, 1663.1237, 3332.7720, 1694.6959, 2581.5421, 1644.9554, 2966.7918, 1600.3258, 1640.0632, 1597.2924, 1634.0195
54.2570, 1757.9059, 6779.3364, 1690.6091, 4363.9378, 1693.2081, 4513.9975, 1683.5702, 4172.5822, 1687.0630, 3636.9160, 1664.3924, 3326.2203, 1695.6500, 2558.2792, 1644.1134, 2970.5223, 1601.6034, 1639.3848, 1597.6764, 1633.6218
55.2570, 1757.4202, 6772.1393, 1690.9670, 4367.2449, 1693.0357, 4503.7611, 1683.2962, 4169.4589, 1684.9010, 3635.4150, 1663.6669, 3334.6864, 1695.1564, 2581.6939, 1643.0335, 2964.3030, 1599.8939, 1639.9561, 1597.0292, 1633.3324
56.2570, 1757.6652, 6777.5515, 1690.7640, 4364.5089, 1694.2438, 4507.1736, 1683.3699, 4169.4966, 1685.7420, 3640.2190, 1664.1602, 3333.6500, 1694.4848, 2568.9912, 1644.1059, 2965.8048, 1599.7621, 1639.9314, 1596.1676, 1632.1072
57.2570, 1757.6752, 6771.0957, 1692.0190, 4365.9188, 1692.8017, 4507.5271, 1683.9486, 4162.8767, 1684.8740, 3639.7080, 1662.8839, 3336.2907, 1695.0566, 2578.4316, 1643.2509, 2964.8848, 1600.9143, 1639.9282, 1597.3606, 1633.0244
58.2570, 1757.0113, 6768.1340, 1690.1409, 4365.9873, 1693.7352, 4508.0800, 1683.1935, 4164.3630, 1685.6400, 3638.5280, 1662.4263, 3336.1983, 1693.8132, 2580.7451, 1645.0595, 2970.5836, 1598.7170, 1639.3398, 1595.9912, 1633.6715
59.2570, 1757.2457, 6770.4056, 1690.5051, 4359.4061, 1693.0111, 4506.6798, 1684.1387, 4163.9247, 1684.6280, 3631.9280, 1662.4881, 3332.3144, 1693.8469, 2570.9528, 1644.2249, 2966.8643, 1600.2090, 1639.1008, 1597.0195, 1633.2982
60.2570, 1757.4668, 6767.2098, 1691.1612, 4363.2195, 1694.0099, 4503.2808, 1681.9949, 4162.4760, 1684.1050, 3632.1050, 1663.7636, 3332.1805, 1695.0587, 2577.1241, 1642.8829, 2964.9758, 1600.5841, 1639.4780, 1596.6014, 1633.1335
61.2570, 1757.3896, 6764.6755, 1691.2170, 4366.6599, 1693.6022, 4503.1909, 1681.8271, 4159.3836, 1685.2880, 3632.3920, 1662.1390, 3331.0102, 1694.2603, 2571.8281, 1644.3680, 2959.0911, 1600.1158, 1639.7192, 1595.3879, 1632.5312
62.2570, 1756.7088, 6769.5735, 1690.1523, 4365.1992, 1692.0394, 4504.3017, 1683.3134, 4157.4606, 1685.6230, 3633.3580, 1663.8814, 3333.1381, 1694.2657, 2558.9440, 1645.1487, 2969.1450, 1600.5573, 1638.4362, 1596.3129, 1631.9396
63.2570, 1757.1818, 6759.8900, 1691.1865, 4373.9391, 1693.5086, 4487.9631, 1683.4914, 4157.4521, 1684.3800, 3628.4010, 1663.3034, 3330.3407, 1695.6345, 2532.7067, 1643.1320, 2964.8253, 1600.7556, 1639.1200, 1596.2349, 1631.6598
64.2570, 1757.1203, 6757.8338, 1691.8236, 4373.5063, 1693.2574, 4484.0702, 1682.7671, 4162.5103, 1686.6130, 3625.8170, 1665.0898, 3323.8161, 1696.5860, 2533.2124, 1644.6134, 2964.8494, 1601.1543, 1638.6356, 1597.2135, 1632.0877
65.2570, 1757.2507, 6745.5402, 1689.8883, 4384.0888, 1694.1946, 4489.3374, 1681.6199, 4168.2500, 1683.6820, 3628.6560, 1662.5924, 3325.9398, 1695.6811, 2509.8233, 1644.8086, 2957.8197, 1598.6827, 1638.4544, 1596.0166, 1633.3304
66.2570, 1756.3517, 6741.1406, 1691.5977, 4384.8807, 1691.2586, 4489.5135, 1682.7603, 4173.3288, 1682.3290, 3628.6010, 1663.9246, 3328.3703, 1694.9285, 2514.8611, 1644.2528, 2959.8030, 1598.0986, 1638.6924, 1597.4357, 1631.8713
67.2570, 1757.0136, 6739.9478, 1691.1421, 4386.7703, 1691.5049, 4486.3054, 1681.6781, 4174.3048, 1684.6330, 3631.7050, 1664.4076, 3326.4754, 1695.9326, 2502.9319, 1646.4331, 2957.7993, 1600.8146, 1635.8617, 1597.4981, 1632.1170
68.2570, 1756.6496, 6736.9451, 1691.0812, 4381.1726, 1691.6330, 4483.7697, 1682.9521, 4181.9589, 1684.4350, 3628.0350, 1663.5780, 3324.4771, 1695.9919, 2496.0223, 1643.9647, 2959.2621, 1600.4105, 1639.8757, 1597.4815, 1631.5663
69.2570, 1755.7613, 6732.6715, 1691.7805, 4381.7627, 1691.5456, 4481.1700, 1682.2175, 4166.8801, 1686.3280, 3631.4400, 1664.0653, 3324.6703, 1696.3109, 2505.9461, 1643.8736, 2956.2918, 1601.2347, 1637.7835, 1596.3918, 1632.5351
70.2570, 1756.4398, 6734.2500, 1692.3629, 4387.6206, 1691.0887, 4479.2266, 1681.9401, 4172.8733, 1683.0660, 3628.5430, 1664.1136, 3323.9551, 1695.8456, 2497.5152, 1645.6264, 2958.1859, 1600.1008, 1640.0847, 1596.2534, 1631.4503
71.2570, 1755.7503, 6726.1034, 1689.6421, 4392.0178, 1692.0222, 4479.9729, 1683.7295, 4169.9075, 1684.5560, 3627.8710, 1664.5508, 3324.7839, 1695.9413, 2505.8112, 1642.3680, 2959.1394, 1599.9871, 1637.6109, 1597.4649, 1632.0965
72.2570, 1755.5662, 6722.9501, 1691.1409, 4385.8959, 1692.0579, 4478.9569, 1680.6079, 4170.5291, 1684.8110, 3625.2490, 1664.8364, 3320.3466, 1696.0856, 2497.5657, 1644.3123, 2954.8290, 1599.3173, 1639.7803, 1596.4747, 1632.1520
