"File: DDELog(Excel:M3_19_7	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M3_DRG_19_7\S+TM3.LOG"
"Date: Tue Jul 19 2022 11:44:43.829"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
136.0420
187.5460
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (101, 182), Size: (36, 39), Area: 1088]"
"Region 2: [Location: (358, 238), Size: (53, 37), Area: 1501]"
"Region 3: [Location: (302, 415), Size: (33, 38), Area: 966]"
"Region 4: [Location: (160, 416), Size: (46, 46), Area: 1642]"
"Region 5: [Location: (261, 60), Size: (42, 48), Area: 1540]"
"Region 6: [Location: (245, 219), Size: (40, 43), Area: 1334]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
106.3840, 1762.7987, 5678.8925, 1752.5916, 5259.5476, 1812.2526, 7712.4286, 1803.8959, 3711.7942, 1609.5260, 1653.6506, 1606.4903, 1658.3486
107.3840, 1762.2555, 5673.2509, 1752.6096, 5255.9514, 1812.3768, 7707.3851, 1803.7223, 3724.7978, 1608.8325, 1653.4519, 1606.1994, 1657.7631
108.3840, 1762.9173, 5675.7601, 1752.4317, 5253.7981, 1811.1087, 7707.3923, 1803.7278, 3718.1175, 1608.8591, 1654.0045, 1606.3291, 1657.3786
109.3840, 1762.7188, 5676.0129, 1753.4277, 5248.8514, 1812.2319, 7708.5569, 1804.0499, 3709.0024, 1608.3487, 1654.5487, 1608.1717, 1658.0555
110.3840, 1762.0046, 5662.6020, 1751.1153, 5246.7955, 1812.5031, 7716.6294, 1805.5104, 3695.8928, 1608.3409, 1653.5662, 1607.5030, 1657.0307
111.3840, 1764.1608, 5663.8676, 1752.8528, 5252.0293, 1812.0062, 7716.8727, 1805.0420, 3688.9227, 1608.3513, 1653.9175, 1608.1814, 1657.5082
112.3840, 1762.3364, 5665.8199, 1752.0253, 5248.2092, 1811.2836, 7718.1677, 1805.4227, 3690.0420, 1607.2857, 1653.8403, 1607.3396, 1656.3883
113.3840, 1763.8520, 5666.1857, 1750.1239, 5245.7635, 1811.8499, 7716.0973, 1803.8088, 3697.9866, 1607.8435, 1654.4890, 1606.8591, 1657.6762
114.3840, 1763.4651, 5664.8502, 1751.7935, 5241.6649, 1811.6708, 7716.4959, 1805.7783, 3700.9549, 1610.0377, 1654.1831, 1608.2234, 1659.0000
115.3840, 1764.3419, 5658.4311, 1748.7528, 5229.9241, 1812.4079, 7713.9720, 1804.0755, 3703.7107, 1609.8104, 1653.0273, 1607.5592, 1658.3486
116.3840, 1761.4531, 5666.8024, 1751.6003, 5211.5523, 1812.5725, 7709.0652, 1804.1523, 3702.1048, 1607.7948, 1654.5539, 1608.0990, 1658.5277
117.3840, 1761.6994, 5663.3529, 1749.3391, 5194.6829, 1811.3447, 7704.5021, 1804.1876, 3697.3301, 1608.2117, 1653.9591, 1606.5067, 1657.6777
118.3840, 1760.3511, 5655.6847, 1749.7682, 5187.3744, 1811.9627, 7704.5145, 1804.5560, 3692.5207, 1610.4013, 1653.1071, 1607.3726, 1658.1244
119.3840, 1763.0846, 5657.8539, 1748.7042, 5169.3751, 1811.2609, 7714.1667, 1804.5773, 3686.9354, 1608.6656, 1655.2227, 1607.1544, 1657.8201
120.3840, 1762.8474, 5653.9412, 1748.7175, 5161.8714, 1809.6946, 7712.2681, 1804.1194, 3682.5146, 1609.8266, 1654.2656, 1608.5270, 1659.1619
121.3840, 1760.8676, 5652.3281, 1749.1226, 5152.5923, 1811.8323, 7710.2360, 1803.3496, 3684.7052, 1608.2117, 1655.2623, 1607.6012, 1658.7226
122.3840, 1762.1866, 5650.8024, 1749.0706, 5140.1459, 1812.1698, 7708.1315, 1803.4653, 3688.3471, 1608.2532, 1654.0766, 1607.6717, 1657.0375
123.3840, 1762.8548, 5652.7868, 1750.1339, 5124.3045, 1811.1667, 7705.7236, 1804.4342, 3702.1632, 1609.0162, 1653.5727, 1607.6769, 1657.2174
124.3840, 1763.6930, 5645.5294, 1749.4510, 5116.4677, 1811.2474, 7707.5010, 1803.5536, 3715.2588, 1609.1338, 1654.3708, 1608.7856, 1657.8486
125.3840, 1762.8088, 5659.9026, 1749.6376, 5111.1392, 1810.4265, 7718.8747, 1803.7850, 3731.5037, 1608.8877, 1654.8942, 1607.5000, 1656.4453
126.3840, 1765.1029, 5663.9779, 1749.3544, 5104.1812, 1812.1542, 7727.2215, 1801.3203, 3745.1151, 1608.3987, 1654.1130, 1607.8516, 1658.8868
127.3840, 1761.8851, 5668.7491, 1750.5550, 5102.7995, 1812.1625, 7721.6398, 1802.1663, 3752.7838, 1608.8870, 1653.0364, 1607.9048, 1659.1529
128.3840, 1763.8318, 5673.3373, 1749.1925, 5103.1572, 1810.5590, 7715.2039, 1801.5950, 3754.2460, 1609.4396, 1654.7481, 1608.2834, 1658.1109
129.3840, 1762.0303, 5673.4412, 1749.8748, 5104.8814, 1811.4627, 7708.8644, 1803.6188, 3768.0128, 1609.4942, 1654.7175, 1607.3291, 1658.7459
130.3840, 1764.3410, 5675.7960, 1750.6889, 5103.8907, 1812.4772, 7707.6967, 1803.1772, 3782.3033, 1609.1247, 1654.5143, 1609.2346, 1658.9040
131.3840, 1763.5928, 5677.5910, 1748.4490, 5104.3025, 1812.0280, 7701.3333, 1803.0639, 3795.2296, 1610.7455, 1654.6636, 1608.8066, 1658.7256
132.3840, 1762.1976, 5681.7096, 1748.2678, 5090.5583, 1812.2277, 7706.9141, 1801.5274, 3804.8666, 1609.1091, 1654.8948, 1607.7946, 1658.1064
