"File: DDELog(Excel:M7_DRG	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M7_DRG_19_7\M7.LOG"
"Date: Tue Jul 19 2022 14:45:8.837"
122.5140, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (30, 126), Size: (37, 38), Area: 1078]"
"Region 2: [Location: (227, 242), Size: (30, 33), Area: 770]"
"Region 3: [Location: (102, 306), Size: (21, 21), Area: 305]"
"Region 4: [Location: (0, 374), Size: (30, 28), Area: 656]"
"Region 5: [Location: (272, 398), Size: (27, 25), Area: 519]"
"Region 6: [Location: (274, 418), Size: (21, 21), Area: 305]"
"Region 7: [Location: (290, 422), Size: (29, 30), Area: 678]"
"Region 8: [Location: (142, 66), Size: (45, 47), Area: 1637]"
"Region 9: [Location: (163, 179), Size: (42, 48), Area: 1540]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg"
55.3200, 1744.4536, 4547.9416, 1685.7610, 3581.0766, 1632.5934, 2442.1738, 1740.5960, 5165.5473, 1752.1098, 5294.1156, 1734.5311, 4558.4197, 1693.4705, 3582.0413, 1608.8955, 1631.7190, 1610.0604, 1637.6532
56.3200, 1744.3404, 4549.0315, 1683.6792, 3581.5182, 1633.0393, 2438.7115, 1741.8841, 5153.6006, 1752.2312, 5282.8478, 1733.6098, 4562.9869, 1694.9248, 3589.8850, 1608.8119, 1631.6811, 1609.2799, 1639.7799
57.3200, 1742.0844, 4548.7625, 1683.7455, 3579.2247, 1630.7377, 2445.5213, 1740.0762, 5161.3948, 1749.7418, 5286.1657, 1736.9672, 4556.0787, 1695.9218, 3600.8776, 1608.9206, 1630.3995, 1609.7987, 1639.9695
58.3200, 1743.6317, 4546.1698, 1682.4831, 3581.0091, 1632.3443, 2443.8426, 1740.3186, 5156.9924, 1751.7919, 5284.6532, 1735.8393, 4534.1475, 1697.4808, 3497.5752, 1609.5498, 1631.9633, 1609.0058, 1638.9052
59.3200, 1744.6818, 4546.4508, 1685.9688, 3581.2857, 1633.4098, 2440.3148, 1739.5854, 5152.7241, 1753.0694, 5275.0636, 1737.0951, 4528.3574, 1696.4823, 3467.6106, 1609.6817, 1632.5131, 1610.6597, 1639.7390
60.3200, 1743.9397, 4544.9573, 1685.6013, 3574.6688, 1631.0000, 2432.0197, 1740.9741, 5150.2561, 1753.1040, 5274.8516, 1734.6164, 4528.7934, 1695.3053, 3501.8658, 1609.5357, 1631.8045, 1609.2500, 1639.7416
61.3200, 1744.7365, 4550.1308, 1683.4974, 3569.9935, 1631.0852, 2440.0328, 1742.4832, 5155.6723, 1752.2505, 5272.0154, 1735.3115, 4536.0197, 1696.8673, 3523.3437, 1609.0690, 1631.3207, 1610.6039, 1638.5630
62.3200, 1743.4675, 4552.0584, 1682.8831, 3567.8792, 1631.6328, 2437.2721, 1741.1082, 5149.3643, 1751.1040, 5273.4412, 1735.4852, 4538.3443, 1694.0870, 3540.1342, 1609.4746, 1631.7001, 1610.4065, 1639.5662
63.3200, 1740.1484, 4510.3748, 1681.8714, 3555.8000, 1632.3180, 2437.4393, 1735.4360, 4999.0701, 1749.1927, 5212.1657, 1733.1148, 4525.3967, 1693.0855, 3528.1445, 1608.9866, 1631.2101, 1610.7429, 1640.0273
64.3200, 1741.9898, 4499.0121, 1683.9766, 3555.2273, 1633.6656, 2434.0525, 1736.9848, 4981.7683, 1748.8131, 5198.2119, 1732.7770, 4515.1344, 1693.2788, 3530.3673, 1610.5608, 1631.9145, 1609.7805, 1639.5429
