"File: DDELog(Excel:M12	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M12_DRG_20_7\M12.LOG"
"Date: Wed Jul 20 2022 10:44:27.576"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Time (sec)"
3.4880
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (291, 74), Size: (60, 51), Area: 2362]"
"Region 2: [Location: (198, 178), Size: (24, 21), Area: 396]"
"Region 3: [Location: (155, 213), Size: (33, 31), Area: 791]"
"Region 4: [Location: (87, 214), Size: (65, 56), Area: 2828]"
"Region 5: [Location: (82, 266), Size: (63, 56), Area: 2730]"
"Region 6: [Location: (262, 369), Size: (77, 80), Area: 4760]"
"Region 7: [Location: (340, 425), Size: (30, 40), Area: 940]"
"Region 8: [Location: (93, 477), Size: (53, 34), Area: 1378]"
"Region 9: [Location: (85, 79), Size: (38, 34), Area: 992]"
"Region 10: [Location: (46, 136), Size: (58, 52), Area: 2328]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
46.6010, 1732.1410, 6170.6588, 1631.9040, 3039.7727, 1663.1656, 3778.3540, 1782.8692, 6312.0884, 1748.9110, 4551.0692, 1735.2712, 6566.9355, 1675.9085, 4208.1362, 1702.8853, 4706.9688, 1592.3780, 1622.8690, 1591.7375, 1634.0876
47.6010, 1732.6710, 6172.2138, 1633.9874, 3045.1591, 1662.4930, 3773.7737, 1781.1952, 6308.1499, 1748.5689, 4550.9469, 1734.7571, 6566.9798, 1675.7457, 4210.9745, 1702.2126, 4703.1618, 1591.5948, 1622.9748, 1590.6748, 1633.6564
48.6010, 1731.9094, 6172.9691, 1634.5631, 3041.6667, 1661.5967, 3776.3919, 1781.1726, 6309.5601, 1749.1531, 4553.6267, 1734.8725, 6566.5851, 1673.3543, 4212.4596, 1701.8991, 4702.9572, 1591.4526, 1621.9435, 1591.2324, 1634.6456
49.6010, 1731.5800, 6169.5207, 1633.3333, 3034.9217, 1663.2465, 3773.0531, 1782.5187, 6307.9770, 1748.1143, 4554.5007, 1735.6647, 6563.0231, 1673.9032, 4208.8309, 1702.5842, 4702.6785, 1591.0343, 1621.9667, 1590.8144, 1632.6143
50.6010, 1730.6135, 6169.0847, 1635.1995, 3034.9798, 1662.9418, 3768.0215, 1781.5484, 6308.4936, 1748.3875, 4552.4099, 1735.5729, 6566.7399, 1675.9096, 4201.0489, 1704.8476, 4703.9833, 1590.1815, 1622.7530, 1590.7075, 1633.9210
51.6010, 1732.4941, 6169.8887, 1634.1490, 3035.6540, 1660.4437, 3767.8736, 1781.7337, 6306.0789, 1748.7839, 4544.6747, 1735.0471, 6564.7769, 1674.8096, 4193.8309, 1703.2990, 4703.3396, 1591.8387, 1621.7782, 1591.9102, 1633.3509
52.6010, 1731.9547, 6168.6816, 1633.7652, 3035.6692, 1663.0013, 3768.1555, 1782.2793, 6302.2882, 1748.8853, 4540.8278, 1736.1601, 6558.0347, 1675.6447, 4194.8872, 1703.6386, 4696.4028, 1591.8347, 1621.7480, 1590.5820, 1634.2792
53.6010, 1731.4873, 6170.3510, 1634.0253, 3031.5934, 1663.3666, 3767.1075, 1781.3409, 6305.6439, 1750.0780, 4546.0278, 1734.7025, 6557.3355, 1675.0947, 4195.7543, 1702.4238, 4691.9289, 1591.6190, 1622.0716, 1590.7689, 1633.1392
54.6010, 1731.1452, 6167.6046, 1632.5682, 3037.0934, 1663.1530, 3761.9772, 1780.2889, 6297.1333, 1749.9139, 4534.8070, 1734.9992, 6552.9292, 1675.2894, 4195.5085, 1702.1001, 4695.1343, 1590.5827, 1621.4788, 1590.5253, 1634.2079
55.6010, 1732.3298, 6163.4522, 1632.9167, 3032.8636, 1662.5651, 3762.4336, 1781.8504, 6298.2129, 1749.0773, 4532.2714, 1735.7059, 6551.3693, 1674.1968, 4196.1809, 1702.9245, 4694.4049, 1592.1744, 1622.1401, 1591.9893, 1635.0013
