"File: DDELog(Excel:M13	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M13_DRG_20_7\M13.LOG"
"Date: Wed Jul 20 2022 11:3:11.233"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
54.8040
114.1950
157.8030
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (104, 68), Size: (74, 57), Area: 3256]"
"Region 2: [Location: (314, 125), Size: (33, 34), Area: 858]"
"Region 3: [Location: (252, 174), Size: (29, 33), Area: 737]"
"Region 4: [Location: (283, 230), Size: (42, 36), Area: 1164]"
"Region 5: [Location: (60, 156), Size: (30, 25), Area: 582]"
"Region 6: [Location: (38, 375), Size: (39, 41), Area: 1239]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
129.8620, 1700.6400, 4918.1456, 1658.3718, 3437.8776, 1649.3012, 2910.0977, 1644.5567, 2773.9699, 1585.7663, 1617.9381, 1586.4383, 1615.2970
130.8620, 1701.3544, 4922.1646, 1659.4114, 3442.5408, 1649.8114, 2912.8820, 1643.1942, 2777.5799, 1583.9966, 1615.5000, 1586.7175, 1615.3890
131.8620, 1700.8354, 4924.4435, 1657.4685, 3440.4452, 1649.9213, 2917.1777, 1644.3136, 2778.0034, 1585.2698, 1617.5086, 1585.4713, 1615.7199
132.8620, 1702.0967, 4924.4106, 1658.2867, 3442.6667, 1651.2822, 2919.6852, 1643.5206, 2778.2655, 1585.3918, 1618.9622, 1587.0920, 1614.5004
133.8620, 1702.4576, 4925.8864, 1658.9441, 3446.5501, 1652.5617, 2916.7300, 1642.9416, 2778.6890, 1586.5653, 1617.9674, 1587.7950, 1614.7361
134.8620, 1702.7528, 4927.7494, 1660.4254, 3442.6434, 1650.4858, 2917.5970, 1643.3058, 2780.3471, 1586.4948, 1618.0447, 1585.8967, 1616.0404
135.8620, 1702.4684, 4930.2703, 1658.9242, 3441.4510, 1650.4437, 2922.9145, 1643.7938, 2783.3668, 1585.4072, 1618.9107, 1587.1961, 1615.3083
136.8620, 1701.7448, 4926.0418, 1659.1317, 3441.3916, 1649.7585, 2919.8033, 1643.9631, 2778.8883, 1586.1907, 1617.3729, 1586.7119, 1614.0710
137.8620, 1701.0556, 4928.7285, 1659.8392, 3439.0012, 1649.5455, 2918.4980, 1642.7595, 2780.9734, 1586.9364, 1618.5412, 1587.0137, 1614.7910
138.8620, 1702.1158, 4923.2353, 1658.6795, 3441.7506, 1650.6662, 2919.0353, 1644.2113, 2781.8969, 1585.3729, 1619.2955, 1588.0178, 1614.6069
139.8620, 1701.6597, 4922.9604, 1658.4219, 3439.2599, 1650.2714, 2920.5237, 1644.2414, 2781.1649, 1585.6271, 1618.6615, 1586.3091, 1614.2357
140.8620, 1701.5587, 4925.8710, 1659.4103, 3437.1760, 1651.8100, 2919.4315, 1643.9931, 2781.2534, 1586.7457, 1618.7165, 1585.8136, 1615.7942
141.8620, 1702.4899, 4922.1318, 1659.1923, 3439.2249, 1651.7354, 2922.0366, 1643.7414, 2781.1349, 1587.7320, 1618.0395, 1587.2680, 1614.7998
